二舅可能都去设计火箭了
首长：谢谢嗷
卧槽二舅好牛逼
这个情节太真实了，说不上是人情，无奈还是看开
真•全村的希望
物理题：画出二舅和姥姥的“位移-时间”曲线
神仙下凡辛苦了
啊，拆上几次就会修啦？！！ 
《我的超人二舅》
二舅一辈子都在创造和修复，包括他自己
woc太对了！！！
《点 名 表 扬》
至少，他有过一段幸福的爱情。感受过小家的温馨，也不失为不幸中的万幸。
天呐…我从未想过的角度…却又那么的真实…
贴个《名牌》上去
突然泪目，如果去了该去的大舞台，唉
年度最佳二舅纪录片
哈哈哈哈哈哈世另我
文案太好了，淡淡的叙述让人落泪，币留不住了
这几句话的格局其实很大，反应了现在农村了现实
如若没有那场意外，他现在该过着怎样的生活。
现在他是余华笔下坎坷而伟大的普通人
“不要光赞美高耸的山峰，平原和丘陵也一样不朽”
一个腿脚不方便的人，却活成了全村的拐杖
马上6789了，更酷
关键二舅是看了三天学会的啊！
这在走近科学能拍十集
二舅实际上是在守护着村子呀！
最代表现代化和最贵的三样
二舅总有办法
每个村都有一个树先生
《北京人很会搓背》
突然想起来开头说二舅是天才少年...此言不虚
二舅是村里的守护神，他是来守护这块土地的
有一个早晨，我扔掉了所有的昨天，从此我的脚步就轻盈了
手机：我滴任务……
逼姥姥锻炼太真实了哈哈哈哈哈哈
这在老北京，得叫声“歪爷”
靠这一句“可怜的老头”我本来笑了一声然后又哭了
如果没有那场医疗事故的话，二舅应该能走的很远吧
《可怜的老头》
二舅：甭拍了，你这孩儿走嘞还谋我快
《赤脚医生手册》
还记得一开始别人口中的不懂礼貌么？
下面是“全国人民团结起来，争取更大的胜利”
对不起，第一次看到这个视频我划走了，现在我回来了
一个需要支柱的人却成了全村的支柱
哇二舅好牛啊 真的好爱家人
两年后，二舅成功研制出0.5nm SoC
还好，这段视频让天下人都认识了二舅
我差点以为你在出题了
遗憾在电影里是主角崛起前戏，在生活里是让人沉沦的毒药
造化弄人，如果当时那个“庸医”治好了二舅我感觉二舅一定能过的风生水起
如果没有那场病，二舅说不定就是一个高级工程师
明年6789更酷我真的笑死
双斑锦蛇：无毒蛇，性格温顺(不粗暴对待无危险)
《二舅总有办法》
一句话便是带过了二舅的小半辈子
说不好过几年能写个app出来
明年就变成6789组合了
是二舅顾住了整个村的乡亲们，却唯独没有顾得上自己
行动就是最好的老师
你好poping老太太
如果二舅生活在一个家境好的地方，他会是一个伟大的科学家。
《我善解人意的哥哥》
六边形战士
超豪华OK？二舅内心很可爱
在历史的巨轮下，每个人都如此渺小
这种关系以前在一本书里看到过的，叫拉帮套
二舅因为自媒体视频火了，又是魔幻的一段旅程
六边形战士二舅
这背影，潇洒的不得了！！
手机带着使命来到二舅身边
木水电全栈工程师
嬉皮笑脸
首长搓背搓得很好
年度最佳纪录片《我的二舅》
二舅可怜但不落魄
仔细看这个短视频里也都是做手工活的视频
他是公平的，只是时代不公平
上帝给二舅关上了一扇门，二舅自己修成了全景别墅
那双手曾经是拿笔的啊
这位歪子是全村的柱子
哈哈哈哈看到这里又哭又笑
前面的，不要随意评论他人，尤其是我们都难以了解全貌的情况下
「小孩是小，不是瞎。」
以前结婚没有恋爱，女的不喜欢原配，后来发现二舅是自己喜欢的
《我的冤种弟弟》
来人，把光刻机给二舅拿上来
说不定会成为冯骥才笔下的俗世奇人呢
那时候的“上海”就相当于现在衣服上的logo
明年是：6789组合酷的要死
此弟不宜久留
二舅如果考上大学现在一定在中科院吧
鲁迅的表达方式内在就是普通百姓的调调。不论什么故事，在叙说普通百姓，自然会有鲁迅的味道
最大的悲哀：没人想成为二舅，却被逼着扮演起了二舅。
二舅就是村子里的守护神！！！！！！！！！！！！！！！！！！！！！
“小孩是小，不是瞎” 精髓
三天可以学会木匠?真神童也
《俗世奇才》
二舅和命运和解了
首长:谢谢夸奖
过两年，二舅能写代码编程了
超豪华OK哈哈哈哈哈哈
歪子？扛把子！
六边形二舅
超酷的OK
大家注意看，上面都是几十块的，有的只有几块钱（！
哈哈哈哈哈哈伤感又幽默
